"store_id","time","treatment","location","type","beer_sales","wine_sales","theft_rate"
"2",8,0,"West Van","Specialty",39.62,28.16,0.018
"2",9,0,"West Van","Specialty",27.31,31.21,0.013
"2",10,0,"West Van","Specialty",30.86,32.81,0.014
"2",11,0,"West Van","Specialty",25.89,31.83,0.015
"2",12,0,"West Van","Specialty",38.66,24.54,0.012
"2",13,0,"West Van","Specialty",32.37,30.98,0.011
"2",14,0,"West Van","Specialty",32.27,29.05,0.011
"2",15,0,"West Van","Specialty",30.77,29.26,0
"2",16,0,"West Van","Specialty",28,29.49,0.016
"2",17,0,"West Van","Specialty",34.15,28.86,0.006
"2",18,0,"West Van","Specialty",32.72,32.4,0.009
"2",19,0,"West Van","Specialty",27.91,29.35,0.002
"2",20,0,"West Van","Specialty",32.2,29.95,0.019
"2",21,0,"West Van","Specialty",41.69,39.4,0
"2",22,0,"West Van","Specialty",27.51,24.29,0.004
"2",23,0,"West Van","Specialty",33.75,27.27,0.002
"2",24,0,"West Van","Specialty",27.59,34.19,0.013
"2",25,0,"West Van","Specialty",28.63,25.52,0.014
"2",26,0,"West Van","Specialty",25.06,33.91,0.003
"2",27,0,"West Van","Specialty",39.74,32.83,0.019
"2",28,0,"West Van","Specialty",36.59,40.92,0.001
"2",29,0,"West Van","Specialty",26.6,28.41,0.016
"2",30,0,"West Van","Specialty",28.33,26.26,0.016
"3",1,1,"West Van","Wine",27.39,28.64,0.005
"3",2,1,"West Van","Wine",32.89,35.64,0.019
"3",3,1,"West Van","Wine",28.65,34.24,0.011
"3",4,1,"West Van","Wine",27.87,35.67,0.018
"3",5,1,"West Van","Wine",27.54,28.23,0.02
"3",6,1,"West Van","Wine",26.83,33.17,0.019
"3",7,1,"West Van","Wine",26.75,29.42,0.001
"3",8,1,"West Van","Wine",30.24,28.29,0.01
"3",9,1,"West Van","Wine",27.07,31.94,0.011
"3",10,1,"West Van","Wine",36.81,32.84,0.008
"3",11,1,"West Van","Wine",27.83,31.5,0.002
"3",12,1,"West Van","Wine",25.28,27.88,0.007
"3",13,1,"West Van","Wine",29.08,28.12,0.008
"3",14,1,"West Van","Wine",33.86,32.55,0.016
"3",15,1,"West Van","Wine",28.84,21.61,0.015
"3",16,1,"West Van","Wine",23.99,26.44,0.015
"3",17,1,"West Van","Wine",34.14,21.88,0.018
"3",18,1,"West Van","Wine",29.64,22.69,0.013
"3",19,1,"West Van","Wine",35.87,21.3,0.007
"3",20,1,"West Van","Wine",25.22,22.63,0.006
"3",21,1,"West Van","Wine",32.48,27.54,0.003
"3",22,1,"West Van","Wine",26.78,24.03,0.004
"3",23,1,"West Van","Wine",30.95,21.78,0.005
"3",24,1,"West Van","Wine",40.13,20.21,0.016
"3",25,1,"West Van","Wine",42.72,30.08,0.018
"3",26,1,"West Van","Wine",26.09,28.93,0.014
"3",27,1,"West Van","Wine",41.66,22.17,0.017
"3",28,1,"West Van","Wine",34.45,24.9,0.006
"3",29,1,"West Van","Wine",26.56,19.49,0.01
"3",30,1,"West Van","Wine",36.83,24.84,0.002
"4",1,0,"West Van","Specialty",35.25,31.07,0.011
"4",2,0,"West Van","Specialty",38.05,31.08,0.006
"4",3,0,"West Van","Specialty",25.58,22.8,0.003
"4",4,0,"West Van","Specialty",25.62,27.47,0.018
"4",5,0,"West Van","Specialty",26.83,28.67,0.019
"4",6,0,"West Van","Specialty",36.29,32.54,0.009
"4",7,0,"West Van","Specialty",31.12,29.06,0.012
"4",8,0,"West Van","Specialty",29.34,27.07,0.015
"4",9,0,"West Van","Specialty",25.6,35.16,0.003
"4",10,0,"West Van","Specialty",34.05,31.15,0.004
"4",11,0,"West Van","Specialty",26.53,32.17,0.009
"4",12,0,"West Van","Specialty",36.76,31.28,0.017
"4",13,0,"West Van","Specialty",24.47,31.89,0.01
"4",14,0,"West Van","Specialty",35.46,26.51,0.014
"4",15,0,"West Van","Specialty",34.53,31.33,0.001
"4",16,0,"West Van","Specialty",31.31,33.21,0.006
"4",17,0,"West Van","Specialty",26.54,33.16,0.019
"4",18,0,"West Van","Specialty",32.75,32.62,0.001
"4",19,0,"West Van","Specialty",33.23,29.15,0.014
"4",20,0,"West Van","Specialty",25.51,32.15,0.001
"4",21,0,"West Van","Specialty",30.06,31.2,0.004
"4",22,0,"West Van","Specialty",22.08,21.33,0.016
"4",23,0,"West Van","Specialty",28.7,34.13,0.01
"4",24,0,"West Van","Specialty",34.59,29.56,0.016
"4",25,0,"West Van","Specialty",30.1,27.2,0.007
"4",26,0,"West Van","Specialty",35.55,29.54,0.016
"4",27,0,"West Van","Specialty",33.63,27.73,0.017
"4",28,0,"West Van","Specialty",34.41,36.41,0.012
"4",29,0,"West Van","Specialty",30.32,34.75,0.017
"4",30,0,"West Van","Specialty",40.2,30.09,0.002
"5",1,1,"West Van","Beer",29.6,28.22,0.019
"5",2,1,"West Van","Beer",23.41,31.12,0.001
"5",3,1,"West Van","Beer",34.54,28.88,0.016
"5",4,1,"West Van","Beer",37.27,31.43,0.018
"5",5,1,"West Van","Beer",25.52,33.27,0.017
"5",6,1,"West Van","Beer",30.6,34.93,0.004
"5",7,1,"West Van","Beer",31.19,31.19,0.005
"5",8,1,"West Van","Beer",29.38,31.3,0.002
"5",9,1,"West Van","Beer",25.44,31.06,0.004
"5",10,1,"West Van","Beer",44.53,31.7,0.002
"5",11,1,"West Van","Beer",34.03,37.28,0.02
"5",12,1,"West Van","Beer",30.81,31.12,0.01
"5",13,1,"West Van","Beer",23.71,27.82,0.017
"5",14,1,"West Van","Beer",32.17,28.45,0.005
"5",15,1,"West Van","Beer",34.58,26.49,0.006
"5",16,1,"West Van","Beer",25.95,23.29,0.019
"5",17,1,"West Van","Beer",35.57,23.49,0.011
"5",18,1,"West Van","Beer",38.6,27.46,0.009
"5",19,1,"West Van","Beer",42.8,18.83,0.003
"5",20,1,"West Van","Beer",36.13,21.38,0.017
"5",21,1,"West Van","Beer",41.25,28.01,0.008
"5",22,1,"West Van","Beer",29.49,25.35,0
"5",23,1,"West Van","Beer",28.22,25.94,0.016
"5",24,1,"West Van","Beer",35.14,25.31,0.01
"5",25,1,"West Van","Beer",29.6,24.61,0.012
"5",26,1,"West Van","Beer",27.03,23.3,0.003
"5",27,1,"West Van","Beer",37.64,24.77,0.017
"5",28,1,"West Van","Beer",35.09,21.69,0.008
"5",29,1,"West Van","Beer",30.84,21.02,0.018
"5",30,1,"West Van","Beer",28.71,26.83,0.005
"6",1,0,"North Van","Beer",25.49,33.75,0.015
"6",2,0,"North Van","Beer",38.73,29.8,0.01
"6",3,0,"North Van","Beer",33.88,23.05,0.017
"6",4,0,"North Van","Beer",33.65,27.32,0.003
"6",5,0,"North Van","Beer",26.56,27.63,0.007
"6",6,0,"North Van","Beer",31.95,33.68,0.002
"6",7,0,"North Van","Beer",41.08,29.18,0.01
"6",8,0,"North Van","Beer",27.24,31.82,0.017
"6",9,0,"North Van","Beer",35.73,32.48,0.013
"6",10,0,"North Van","Beer",33.33,32.66,0.016
"6",11,0,"North Van","Beer",39.86,34.99,0.009
"6",12,0,"North Van","Beer",31.3,26.82,0.003
"6",13,0,"North Van","Beer",34.78,30.54,0.017
"6",14,0,"North Van","Beer",33.04,27.32,0.013
"6",15,0,"North Van","Beer",35.08,27.18,0.012
"6",16,0,"North Van","Beer",27.72,32.71,0.001
"6",17,0,"North Van","Beer",34.74,31.15,0.005
"6",18,0,"North Van","Beer",32.58,26.21,0.008
"6",19,0,"North Van","Beer",24.58,30.82,0.004
"6",20,0,"North Van","Beer",32.51,25.35,0.003
"6",21,0,"North Van","Beer",26.74,31.82,0.014
"6",22,0,"North Van","Beer",26.79,32.43,0.011
"6",23,0,"North Van","Beer",31.04,32.57,0.019
"6",24,0,"North Van","Beer",40.89,33.7,0.006
"6",25,0,"North Van","Beer",26.34,30,0.019
"6",26,0,"North Van","Beer",33.99,29.4,0.004
"6",27,0,"North Van","Beer",30.84,26.5,0.01
"6",28,0,"North Van","Beer",37.62,32.39,0.01
"6",29,0,"North Van","Beer",28.37,29.65,0.004
"6",30,0,"North Van","Beer",35.29,32.54,0.007
"7",1,0,"East Van","Wine",34.56,29.62,0.019
"7",2,0,"East Van","Wine",11.42,29.62,0.009
"7",3,0,"East Van","Wine",25.88,26.09,0
"7",4,0,"East Van","Wine",30.26,30.16,0.02
"7",5,0,"East Van","Wine",13.53,29.1,0.003
"7",6,0,"East Van","Wine",32.69,32.83,0.008
"7",7,0,"East Van","Wine",32.02,35.17,0.012
"7",8,0,"East Van","Wine",24.97,34.03,0.006
"7",9,0,"East Van","Wine",36.46,31.37,0.012
"7",10,0,"East Van","Wine",28.52,35.28,0.001
"7",11,0,"East Van","Wine",37.05,24.01,0.018
"7",12,0,"East Van","Wine",25.16,25.13,0.015
"7",13,0,"East Van","Wine",30.48,34.45,0.013
"7",14,0,"East Van","Wine",38.36,30.93,0.015
"7",15,0,"East Van","Wine",32.55,32.59,0.014
"7",16,0,"East Van","Wine",31.65,27.68,0.006
"7",17,0,"East Van","Wine",26.81,28.7,0.01
"7",18,0,"East Van","Wine",40.94,32.29,0.015
"7",19,0,"East Van","Wine",28.42,26.88,0.007
"7",20,0,"East Van","Wine",23.69,27.29,0.01
"7",21,0,"East Van","Wine",20.98,34.33,0.008
"7",22,0,"East Van","Wine",30.72,28.71,0.015
"7",23,0,"East Van","Wine",29.46,26.34,0.008
"7",24,0,"East Van","Wine",37.28,36.82,0.01
"7",25,0,"East Van","Wine",29.4,26.97,0.008
"7",26,0,"East Van","Wine",27.52,27.22,0.01
"7",27,0,"East Van","Wine",39.13,33.53,0.01
"7",28,0,"East Van","Wine",24.47,30.29,0.012
"7",29,0,"East Van","Wine",44.76,36.8,0.018
"7",30,0,"East Van","Wine",37,35.24,0.006
"8",1,1,"Downtown","Beer",27.95,25.17,0.01
"8",2,1,"Downtown","Beer",29.31,26.69,0.012
"8",3,1,"Downtown","Beer",31.73,32.72,0.015
"8",4,1,"Downtown","Beer",37.23,33.45,0.006
"8",5,1,"Downtown","Beer",29.18,29.13,0.016
"8",6,1,"Downtown","Beer",29.41,27.24,0.007
"8",7,1,"Downtown","Beer",29.24,27.71,0.001
"8",8,1,"Downtown","Beer",32.34,30.38,0.012
"8",9,1,"Downtown","Beer",25.1,31.33,0.005
"8",10,1,"Downtown","Beer",33.09,29.51,0.003
"8",11,1,"Downtown","Beer",23.27,31.83,0.02
"8",12,1,"Downtown","Beer",36.52,33.99,0.016
"8",13,1,"Downtown","Beer",31.88,32.09,0.015
"8",14,1,"Downtown","Beer",36.89,30.6,0.019
"8",15,1,"Downtown","Beer",34.73,18.78,0.006
"8",16,1,"Downtown","Beer",32.59,20.18,0.007
"8",17,1,"Downtown","Beer",31.55,24.54,0.003
"8",18,1,"Downtown","Beer",32.13,23.15,0.003
"8",19,1,"Downtown","Beer",31.8,21.42,0.012
"8",20,1,"Downtown","Beer",42.57,27.97,0.012
"8",21,1,"Downtown","Beer",40.27,26.01,0.016
"8",22,1,"Downtown","Beer",40.52,19.65,0.002
"8",23,1,"Downtown","Beer",34.76,24.22,0.009
"8",24,1,"Downtown","Beer",34.25,24.73,0.011
"8",25,1,"Downtown","Beer",28.94,24.93,0.011
"8",26,1,"Downtown","Beer",39.45,20.97,0.008
"8",27,1,"Downtown","Beer",33.07,26.54,0.016
"8",28,1,"Downtown","Beer",41.03,21.36,0.001
"8",29,1,"Downtown","Beer",38.62,30.74,0.018
"8",30,1,"Downtown","Beer",36.33,32.16,0.004
"9",1,0,"West Van","Wine",35.44,34.13,0.006
"9",2,0,"West Van","Wine",22.79,31.34,0.008
"9",3,0,"West Van","Wine",34.55,34.71,0.001
"9",4,0,"West Van","Wine",21.1,32.84,0.013
"9",5,0,"West Van","Wine",27.04,36.12,0.011
"9",6,0,"West Van","Wine",26.27,25.65,0.006
"9",7,0,"West Van","Wine",21.64,30.9,0.009
"9",8,0,"West Van","Wine",28.42,35.64,0.015
"9",9,0,"West Van","Wine",25.68,28.28,0.013
"9",10,0,"West Van","Wine",30.61,35.06,0
"9",11,0,"West Van","Wine",13.05,29.05,0.019
"9",12,0,"West Van","Wine",27.12,28.61,0.005
"9",13,0,"West Van","Wine",23.45,32.56,0.003
"9",14,0,"West Van","Wine",30.18,27.54,0.003
"9",15,0,"West Van","Wine",25.07,30.94,0.019
"9",16,0,"West Van","Wine",35.44,29.47,0.015
"9",17,0,"West Van","Wine",26.31,27.29,0.019
"9",18,0,"West Van","Wine",26.29,33.35,0.003
"9",19,0,"West Van","Wine",40.67,31.38,0.017
"9",20,0,"West Van","Wine",28.44,33.37,0.01
"9",21,0,"West Van","Wine",26.65,27.71,0.006
"9",22,0,"West Van","Wine",24.54,32.59,0.011
"9",23,0,"West Van","Wine",36.14,30.43,0.002
"9",24,0,"West Van","Wine",28.17,24.92,0.001
"9",25,0,"West Van","Wine",28.62,36.22,0.003
"9",26,0,"West Van","Wine",23.89,31.11,0.017
"9",27,0,"West Van","Wine",36.39,31.61,0.019
"9",28,0,"West Van","Wine",27.83,29.97,0.012
"9",29,0,"West Van","Wine",37.4,31.63,0.008
"9",30,0,"West Van","Wine",39.39,33.01,0.014
"10",1,1,"West Van","Wine",29.47,31.29,0.01
"10",2,1,"West Van","Wine",28.56,36.25,0.008
"10",3,1,"West Van","Wine",27.22,28.53,0.018
"10",4,1,"West Van","Wine",34.24,30.33,0.014
"10",5,1,"West Van","Wine",28.31,34.85,0.017
"10",6,1,"West Van","Wine",25.94,36.02,0.02
"10",7,1,"West Van","Wine",26.66,27.94,0.015
"10",8,1,"West Van","Wine",29.97,33.05,0.016
"10",9,1,"West Van","Wine",30.38,27.76,0.013
"10",10,1,"West Van","Wine",31.58,35.25,0.007
"10",11,1,"West Van","Wine",32.66,32.69,0.008
"10",12,1,"West Van","Wine",28.37,26.88,0.015
"10",13,1,"West Van","Wine",30.28,28.73,0.008
"10",14,1,"West Van","Wine",32.52,30.75,0.003
"10",15,1,"West Van","Wine",28.12,23.8,0.01
"10",16,1,"West Van","Wine",33.97,19.42,0.017
"10",17,1,"West Van","Wine",34.3,22.78,0.009
"10",18,1,"West Van","Wine",35.64,23.49,0.015
"10",19,1,"West Van","Wine",38.26,20.09,0.01
"10",20,1,"West Van","Wine",32.9,26.82,0.005
"10",21,1,"West Van","Wine",30.65,25.02,0.001
"10",22,1,"West Van","Wine",28.88,23.63,0.019
"10",23,1,"West Van","Wine",26.54,21.37,0.019
"10",24,1,"West Van","Wine",32.92,23.89,0.008
"10",25,1,"West Van","Wine",37.74,23.86,0.007
"10",26,1,"West Van","Wine",25.59,23.16,0.011
"10",27,1,"West Van","Wine",32.24,23.37,0.008
"10",28,1,"West Van","Wine",37.44,24.26,0.014
"10",29,1,"West Van","Wine",31.16,24.91,0.017
"10",30,1,"West Van","Wine",33.66,34.61,0.018
"11",1,0,"Downtown","Beer",29.76,30.65,0.01
"11",2,0,"Downtown","Beer",26.36,32.18,0.004
"11",3,0,"Downtown","Beer",36.58,27.83,0.009
"11",4,0,"Downtown","Beer",32.09,31.43,0.018
"11",5,0,"Downtown","Beer",33.93,27.12,0.004
"11",6,0,"Downtown","Beer",22.44,34.56,0.009
"11",7,0,"Downtown","Beer",27.19,27.93,0.012
"11",8,0,"Downtown","Beer",30.38,32.29,0.007
"11",9,0,"Downtown","Beer",31.62,34.46,0.003
"11",10,0,"Downtown","Beer",31.47,29.95,0.011
"11",11,0,"Downtown","Beer",22.66,25.06,0.016
"11",12,0,"Downtown","Beer",36.92,32.43,0.007
"11",13,0,"Downtown","Beer",32.51,31.83,0.017
"11",14,0,"Downtown","Beer",30.25,31.43,0.02
"11",15,0,"Downtown","Beer",29.87,29.19,0.007
"11",16,0,"Downtown","Beer",47.64,26.63,0.018
"11",17,0,"Downtown","Beer",23.3,31.46,0.002
"11",18,0,"Downtown","Beer",28.67,29.93,0.005
"11",19,0,"Downtown","Beer",30.21,29.2,0.013
"11",20,0,"Downtown","Beer",38.66,34.64,0.014
"11",21,0,"Downtown","Beer",35.95,35.37,0.012
"11",22,0,"Downtown","Beer",31.04,31.23,0.014
"11",23,0,"Downtown","Beer",28.39,27.04,0.012
"11",24,0,"Downtown","Beer",32.41,33.67,0.02
"11",25,0,"Downtown","Beer",32.36,24.15,0
"11",26,0,"Downtown","Beer",32.2,28.18,0.019
"11",27,0,"Downtown","Beer",41.35,29.22,0.013
"11",28,0,"Downtown","Beer",33.91,32.53,0.015
"11",29,0,"Downtown","Beer",28.48,34,0.004
"11",30,0,"Downtown","Beer",32.95,33.71,0.013
"12",1,0,"West Van","Beer",33.78,28.82,0.013
"12",2,0,"West Van","Beer",19.5,30.37,0.017
"12",3,0,"West Van","Beer",30.15,27.55,0.002
"12",4,0,"West Van","Beer",27.27,28.49,0.012
"12",5,0,"West Van","Beer",36.09,25.36,0.017
"12",6,0,"West Van","Beer",35.42,31.35,0.015
"12",7,0,"West Van","Beer",35.07,31.93,0.006
"12",8,0,"West Van","Beer",36.69,27.73,0.018
"12",9,0,"West Van","Beer",22.54,32.7,0
"12",10,0,"West Van","Beer",28.55,29.26,0.016
"12",11,0,"West Van","Beer",20.79,35.16,0.011
"12",12,0,"West Van","Beer",41.29,28.63,0.008
"12",13,0,"West Van","Beer",29.77,32.54,0.003
"12",14,0,"West Van","Beer",33.01,31.96,0.007
"12",15,0,"West Van","Beer",32.14,31.26,0.006
"12",16,0,"West Van","Beer",35.73,31.04,0.018
"12",17,0,"West Van","Beer",28.07,30.35,0.004
"12",18,0,"West Van","Beer",35.83,26.86,0.009
"12",19,0,"West Van","Beer",31.38,29.18,0.007
"12",20,0,"West Van","Beer",30.79,32.39,0.018
"12",21,0,"West Van","Beer",29.2,31.46,0.007
"12",22,0,"West Van","Beer",32.2,32.67,0.013
"12",23,0,"West Van","Beer",33.99,29.07,0.013
"12",24,0,"West Van","Beer",33.91,27.32,0.008
"12",25,0,"West Van","Beer",34.84,24.68,0.009
"12",26,0,"West Van","Beer",31.17,34.47,0.004
"12",27,0,"West Van","Beer",34.99,29.97,0.002
"12",28,0,"West Van","Beer",22.51,30,0.01
"12",29,0,"West Van","Beer",30.26,32.86,0.017
"12",30,0,"West Van","Beer",30.11,33.97,0.019
"13",1,0,"West Van","Beer",26.38,26.58,0.004
"13",2,0,"West Van","Beer",33.07,34.49,0.009
"13",3,0,"West Van","Beer",23.26,26.73,0.01
"13",4,0,"West Van","Beer",32.48,28.01,0.016
"13",5,0,"West Van","Beer",30.01,32.68,0.004
"13",6,0,"West Van","Beer",32.93,32.09,0.013
"13",7,0,"West Van","Beer",38.05,38.16,0.007
"13",8,0,"West Van","Beer",29.48,28.87,0.016
"13",9,0,"West Van","Beer",25.17,33.52,0.016
"13",10,0,"West Van","Beer",29.57,34.94,0.009
"13",11,0,"West Van","Beer",31.07,28.37,0.001
"13",12,0,"West Van","Beer",18.62,32.01,0.013
"13",13,0,"West Van","Beer",28.24,27.87,0.012
"13",14,0,"West Van","Beer",26.76,29.62,0.019
"13",15,0,"West Van","Beer",38.84,26.05,0.011
"13",16,0,"West Van","Beer",30.66,31.02,0.019
"13",17,0,"West Van","Beer",38.13,24.57,0.001
"13",18,0,"West Van","Beer",32.84,33.77,0.012
"13",19,0,"West Van","Beer",27.18,29.43,0.016
"13",20,0,"West Van","Beer",29.53,34.79,0.011
"13",21,0,"West Van","Beer",31.15,25.91,0.018
"13",22,0,"West Van","Beer",25.61,32.12,0.015
"13",23,0,"West Van","Beer",27.31,27.41,0.009
"13",24,0,"West Van","Beer",37.13,30.69,0.02
"13",25,0,"West Van","Beer",39.2,36.52,0.009
"13",26,0,"West Van","Beer",33.55,29.42,0
"13",27,0,"West Van","Beer",24.56,30.55,0.002
"13",28,0,"West Van","Beer",42.16,28,0.014
"13",29,0,"West Van","Beer",36.63,29.33,0.001
"13",30,0,"West Van","Beer",33.07,36.86,0.009
"14",1,0,"East Van","Wine",27.99,25.9,0.011
"14",2,0,"East Van","Wine",29.55,32.36,0.002
"14",3,0,"East Van","Wine",32.28,30.06,0.014
"14",4,0,"East Van","Wine",23.67,30.31,0.018
"14",5,0,"East Van","Wine",31.33,29.84,0.012
"14",6,0,"East Van","Wine",24.01,34.48,0.018
"14",7,0,"East Van","Wine",33.41,25.56,0.012
"14",8,0,"East Van","Wine",36.1,36.05,0.001
"14",9,0,"East Van","Wine",21.82,29.39,0.013
"14",10,0,"East Van","Wine",32.44,23.39,0.015
"14",11,0,"East Van","Wine",32.52,24.99,0.001
"14",12,0,"East Van","Wine",31.2,28.03,0.018
"14",13,0,"East Van","Wine",35.47,29.95,0.005
"14",14,0,"East Van","Wine",38.32,32.38,0.002
"14",15,0,"East Van","Wine",25.05,28.43,0.003
"14",16,0,"East Van","Wine",41.69,26.81,0.007
"14",17,0,"East Van","Wine",33.16,31.12,0.003
"14",18,0,"East Van","Wine",24.78,28.07,0.002
"14",19,0,"East Van","Wine",30.09,28.96,0
"14",20,0,"East Van","Wine",31.83,34.68,0.011
"14",21,0,"East Van","Wine",26.55,33.72,0.02
"14",22,0,"East Van","Wine",31.13,26.76,0.004
"14",23,0,"East Van","Wine",37.33,28.99,0.013
"14",24,0,"East Van","Wine",30.55,31.25,0.014
"14",25,0,"East Van","Wine",25.89,26.91,0.012
"14",26,0,"East Van","Wine",32.98,27.81,0.009
"14",27,0,"East Van","Wine",25.62,31.83,0.006
"14",28,0,"East Van","Wine",37.29,32.25,0.007
"14",29,0,"East Van","Wine",25.13,33.02,0.002
"14",30,0,"East Van","Wine",32.55,28.41,0.008
"15",1,1,"West Van","Beer",25.79,32.2,0.017
"15",2,1,"West Van","Beer",29.68,27.64,0.018
"15",3,1,"West Van","Beer",35.02,28.61,0.005
"15",4,1,"West Van","Beer",30.62,31.03,0.018
"15",5,1,"West Van","Beer",32.17,31.07,0.012
"15",6,1,"West Van","Beer",22.35,31.04,0.008
"15",7,1,"West Van","Beer",31.17,32.87,0.003
"15",8,1,"West Van","Beer",24.84,28.15,0.008
"15",9,1,"West Van","Beer",26.04,32.14,0.015
"15",10,1,"West Van","Beer",30.78,32.98,0.002
"15",11,1,"West Van","Beer",37.79,30.14,0.012
"15",12,1,"West Van","Beer",26.69,32.42,0.006
"15",13,1,"West Van","Beer",31.21,31.64,0.015
"15",14,1,"West Van","Beer",33.53,27.47,0.009
"15",15,1,"West Van","Beer",25.26,21.99,0.004
"15",16,1,"West Van","Beer",40.12,26.91,0.015
"15",17,1,"West Van","Beer",33.71,25.17,0.016
"15",18,1,"West Van","Beer",27.36,27.72,0.005
"15",19,1,"West Van","Beer",35.64,22.32,0.018
"15",20,1,"West Van","Beer",31.42,23.69,0.001
"15",21,1,"West Van","Beer",37.74,28.65,0.016
"15",22,1,"West Van","Beer",36.08,25.63,0.009
"15",23,1,"West Van","Beer",19.94,24.36,0.009
"15",24,1,"West Van","Beer",25.07,25.1,0.003
"15",25,1,"West Van","Beer",35.81,16.7,0.001
"15",26,1,"West Van","Beer",42.36,27.11,0.011
"15",27,1,"West Van","Beer",44.56,25.59,0.016
"15",28,1,"West Van","Beer",34.45,21.09,0.009
"15",29,1,"West Van","Beer",34.17,24.07,0.018
"15",30,1,"West Van","Beer",40.39,21.24,0.013
"16",1,0,"West Van","Specialty",44.63,34.12,0.003
"16",2,0,"West Van","Specialty",22.35,31.31,0.001
"16",3,0,"West Van","Specialty",29.1,30.72,0.004
"16",4,0,"West Van","Specialty",33.19,31.82,0.019
"16",5,0,"West Van","Specialty",30.76,30.92,0.005
"16",6,0,"West Van","Specialty",26.1,31.63,0.005
"16",7,0,"West Van","Specialty",17.42,29.92,0.013
"16",8,0,"West Van","Specialty",37.6,27.92,0.002
"16",9,0,"West Van","Specialty",33.44,26.58,0.006
"16",10,0,"West Van","Specialty",27.72,30.69,0.009
"16",11,0,"West Van","Specialty",37.28,30.99,0.012
"16",12,0,"West Van","Specialty",37.38,29.75,0.015
"16",13,0,"West Van","Specialty",31.06,26.59,0.02
"16",14,0,"West Van","Specialty",33.68,29.38,0.017
"16",15,0,"West Van","Specialty",26.6,29.93,0.014
"16",16,0,"West Van","Specialty",32.49,27.56,0.017
"16",17,0,"West Van","Specialty",38.72,29.86,0.011
"16",18,0,"West Van","Specialty",25.97,30.93,0.019
"16",19,0,"West Van","Specialty",35.08,32.58,0.015
"16",20,0,"West Van","Specialty",23.53,34.78,0.005
"16",21,0,"West Van","Specialty",35.74,33.67,0.002
"16",22,0,"West Van","Specialty",22.48,31.08,0.007
"16",23,0,"West Van","Specialty",42.89,26.41,0.009
"16",24,0,"West Van","Specialty",35.89,31.4,0.016
"16",25,0,"West Van","Specialty",34.81,35.51,0.016
"16",26,0,"West Van","Specialty",31.29,31.79,0.012
"16",27,0,"West Van","Specialty",30.31,30.98,0.014
"16",28,0,"West Van","Specialty",32.97,29.45,0.001
"16",29,0,"West Van","Specialty",28.43,30.71,0.003
"16",30,0,"West Van","Specialty",30.24,28.35,0.009
"17",1,0,"West Van","Wine",29.15,29.41,0.019
"17",2,0,"West Van","Wine",27.6,29.87,0.016
"17",3,0,"West Van","Wine",34.52,31.78,0.008
"17",4,0,"West Van","Wine",31.64,28.79,0.017
"17",5,0,"West Van","Wine",24.89,24.37,0.002
"17",6,0,"West Van","Wine",29.87,29.16,0.019
"17",7,0,"West Van","Wine",30.38,26.72,0.008
"17",8,0,"West Van","Wine",26.44,26.86,0.012
"17",9,0,"West Van","Wine",30.29,31.98,0.006
"17",10,0,"West Van","Wine",29.8,28.14,0.02
"17",11,0,"West Van","Wine",31.92,30.42,0.006
"17",12,0,"West Van","Wine",34.31,34,0.012
